Facility ID,Facility Name,Description,Short Description,Attribute Type,Attribute Value,Measure Value,Sub Type,County,Regional Office,Effective Date
9808,FMS-Greece Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Hemodialysis Training and Support,,Processing Stations,Monroe,Western Regional Office - Rochester,02/23/2016
9808,FMS-Greece Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Peritoneal Dialysis Training and Support,,Processing Stations,Monroe,Western Regional Office - Rochester,04/22/2022
9808,FMS-Greece Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Renal Dialysis - Chronic O/P,17,Processing Stations,Monroe,Western Regional Office - Rochester,06/01/2015
9809,Joseph P. Addabbo Family Health Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,07/14/2014
9810,ODA Primary Health Care Network - Monticello,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Sullivan,Metropolitan Area Regional Office - New Rochelle,06/25/2015
9810,ODA Primary Health Care Network - Monticello,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Sullivan,Metropolitan Area Regional Office - New Rochelle,06/25/2015
9811,NYU Langone Perlmutter Cancer Center - Bayridge,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,04/16/2024
9811,NYU Langone Perlmutter Cancer Center - Bayridge,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,05/26/2015
9812,St. Francis Hospital Infusion Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,03/06/2018
9812,St. Francis Hospital Infusion Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,06/26/2015
