node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
telecom_cluster_02324,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.685275,-73.970062,0.0
telecom_cluster_00322,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.683762,-73.975125,0.0
telecom_cluster_02228,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.67515,-73.980175,0.0
telecom_cluster_00323,0.071,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.6845,-73.97142,0.0
telecom_cluster_02320,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.685458,-73.990539,0.0
telecom_cluster_02381,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.68937,-73.97448,0.0
telecom_cluster_02272,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.680209,-73.989945,0.0
telecom_cluster_02183,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.6698,-73.979573,0.0
telecom_cluster_02323,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.683779,-73.976226,0.0
telecom_cluster_02321,0.071,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.686033,-73.985517,0.0
fuel_station_shell_0098,0.071,0.0,0,0,Shell (Shell),fuel,Brooklyn,40.683271,-73.982334,0.2
fuel_station_unknown_gas_station_0355,0.07,0.0,0,0,Unknown Gas Station,fuel,Brooklyn,40.640974,-73.918996,0.2
water_spring_creek_park_dep_aux_plnt,0.07,48.0,48,48,Spring Creek Park/Dep Aux Plnt,water,Queens,40.658171,-73.863718,0.0
fuel_station_allegiance_0745,0.07,0.0,0,0,Allegiance,fuel,Queens,40.672921,-73.871642,0.2
fuel_station_citgo_0870,0.07,0.0,0,0,Citgo (Citgo),fuel,Queens,40.752312,-73.905076,0.2
telecom_cluster_01944,0.07,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.64068,-73.92028,0.0
fuel_station_sunoco_0168,0.069,0.0,0,0,Sunoco (Sunoco),fuel,Brooklyn,40.590262,-73.97493,0.2
fuel_station_exxon_0705,0.069,0.0,0,0,Exxon (Exxon),fuel,Queens,40.682559,-73.851368,0.2
telecom_cluster_02009,0.069,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.649628,-73.979666,0.0
telecom_cluster_00185,0.069,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.6594,-73.981329,0.0
telecom_cluster_02052,0.069,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.654782,-73.979709,0.0
telecom_cluster_02092,0.069,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.660296,-73.980213,0.0
telecom_cluster_00165,0.069,48.0,48,48,AT&T cluster,telecom,Brooklyn,40.655086,-73.979771,0.0
fuel_station_mobil_0196,0.069,0.0,0,0,Mobil (Mobil),fuel,Brooklyn,40.647597,-73.979764,0.2
fuel_station_exxon_1020,0.068,0.0,0,0,Exxon (Exxon),fuel,Brooklyn,40.615826,-73.913846,0.2
telecom_cluster_03649,0.067,48.0,48,48,T-Mobile cluster,telecom,Bronx,40.829767,-73.909967,0.0
telecom_cluster_03681,0.067,48.0,48,48,T-Mobile cluster,telecom,Bronx,40.835029,-73.906414,0.0
fuel_station_mobil_0609,0.067,0.0,0,0,Mobil (Mobil),fuel,Staten Island,40.609271,-74.063059,0.2
telecom_cluster_01765,0.067,48.0,48,48,T-Mobile cluster,telecom,Staten Island,40.603486,-74.054743,0.0
fuel_station_bp_1141,0.067,0.0,0,0,BP (BP),fuel,Queens,40.743699,-73.717887,0.2
fuel_station_unknown_gas_station_0764,0.067,0.0,0,0,Unknown Gas Station,fuel,Bronx,40.83207,-73.909996,0.2
fuel_station_shell_0531,0.066,0.0,0,0,Shell (Shell),fuel,Brooklyn,40.581631,-73.960291,0.2
