node_id,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0148,T-Mobile cluster,telecom,40.71898,-73.99424,Manhattan,1.962
telecom_cluster_0149,T-Mobile cluster,telecom,40.71997,-73.989337,Manhattan,1.175
telecom_cluster_0150,T-Mobile cluster,telecom,40.720182,-73.985086,Manhattan,1.175
telecom_cluster_0151,T-Mobile cluster,telecom,40.720592,-73.980617,Manhattan,1.175
telecom_cluster_0152,T-Mobile cluster,telecom,40.720094,-73.9749,Manhattan,1.175
telecom_cluster_0153,T-Mobile cluster,telecom,40.719333,-73.970967,Manhattan,0.0
telecom_cluster_0154,T-Mobile cluster,telecom,40.7262,-74.0129,Manhattan,1.962
telecom_cluster_0155,T-Mobile cluster,telecom,40.7238,-74.0113,Manhattan,1.962
telecom_cluster_0156,T-Mobile cluster,telecom,40.724012,-74.0039,Manhattan,1.962
telecom_cluster_0157,T-Mobile cluster,telecom,40.724644,-74.000233,Manhattan,1.962
telecom_cluster_0158,T-Mobile cluster,telecom,40.7245,-73.995681,Manhattan,1.962
telecom_cluster_0159,T-Mobile cluster,telecom,40.724733,-73.98983,Manhattan,1.175
telecom_cluster_0160,T-Mobile cluster,telecom,40.72489,-73.984924,Manhattan,1.175
telecom_cluster_0161,T-Mobile cluster,telecom,40.724193,-73.980693,Manhattan,1.175
telecom_cluster_0162,T-Mobile cluster,telecom,40.724518,-73.974424,Manhattan,1.175
telecom_cluster_0163,T-Mobile cluster,telecom,40.726367,-73.9718,Manhattan,0.852
telecom_cluster_0164,T-Mobile cluster,telecom,40.7309,-74.015233,Manhattan,0.0
telecom_cluster_0165,T-Mobile cluster,telecom,40.7288,-74.0094,Manhattan,1.962
telecom_cluster_0166,T-Mobile cluster,telecom,40.730738,-74.00425,Manhattan,1.962
telecom_cluster_0167,T-Mobile cluster,telecom,40.7301,-73.999715,Manhattan,1.962
telecom_cluster_0168,T-Mobile cluster,telecom,40.728825,-73.993975,Manhattan,1.962
telecom_cluster_0169,T-Mobile cluster,telecom,40.730273,-73.989905,Manhattan,0.852
telecom_cluster_0170,T-Mobile cluster,telecom,40.729497,-73.984994,Manhattan,0.852
telecom_cluster_0171,T-Mobile cluster,telecom,40.730021,-73.980354,Manhattan,0.852
telecom_cluster_0172,T-Mobile cluster,telecom,40.7299,-73.9747,Manhattan,0.852
telecom_cluster_0173,T-Mobile cluster,telecom,40.72848,-73.9719,Manhattan,0.852
telecom_cluster_0174,T-Mobile cluster,telecom,40.7354,-74.010133,Manhattan,0.81
telecom_cluster_0175,T-Mobile cluster,telecom,40.734412,-74.003838,Manhattan,0.81
telecom_cluster_0176,T-Mobile cluster,telecom,40.735496,-74.000308,Manhattan,0.81
telecom_cluster_0177,T-Mobile cluster,telecom,40.736474,-73.99573,Manhattan,0.81
telecom_cluster_0178,T-Mobile cluster,telecom,40.7354,-73.990308,Manhattan,0.81
telecom_cluster_0179,T-Mobile cluster,telecom,40.734733,-73.984944,Manhattan,0.331
telecom_cluster_0180,T-Mobile cluster,telecom,40.735519,-73.979706,Manhattan,0.331
telecom_cluster_0181,T-Mobile cluster,telecom,40.734887,-73.974447,Manhattan,0.331
telecom_cluster_0182,T-Mobile cluster,telecom,40.7357,-73.972067,Manhattan,1.19
telecom_cluster_0183,T-Mobile cluster,telecom,40.742,-74.0177,Manhattan,0.0
