node_id,name,infra_type,borough,lat,lon,external,flood_moderate_current_depth_m,flood_moderate_2050_depth_m,flood_extreme_2080_depth_m
telecom_cluster_01086,AT&T cluster,telecom,NJ (external),40.78968,-74.1954,False,0.0,0.0,0.0
telecom_cluster_01087,AT&T cluster,telecom,NJ (external),40.7885,-74.17385,False,0.0,0.0,0.0
telecom_cluster_01088,AT&T cluster,telecom,NJ (external),40.79,-74.1458,False,0.0,0.0,0.0
telecom_cluster_01089,AT&T cluster,telecom,NJ (external),40.7892,-74.0888,False,0.0,0.0,0.0
telecom_cluster_01090,AT&T cluster,telecom,NJ (external),40.7919,-74.0856,False,0.0,0.0,0.0
telecom_cluster_01091,AT&T cluster,telecom,NJ (external),40.7878,-74.0747,False,0.0,0.0,0.0
telecom_cluster_01092,AT&T cluster,telecom,NJ (external),40.7897,-74.051,False,0.0,0.0,0.0
telecom_cluster_01093,AT&T cluster,telecom,Manhattan,40.790217,-73.979583,False,0.0,0.0,0.0
telecom_cluster_01094,AT&T cluster,telecom,Manhattan,40.788633,-73.975644,False,0.0,0.0,0.0
telecom_cluster_01095,AT&T cluster,telecom,Manhattan,40.7887,-73.967,False,0.0,0.0,0.0
telecom_cluster_01096,AT&T cluster,telecom,Manhattan,40.78885,-73.9378,False,0.0,0.0,0.8
telecom_cluster_01097,AT&T cluster,telecom,Manhattan,40.7896,-73.93615,False,0.0,0.0,0.0
telecom_cluster_01098,AT&T cluster,telecom,Manhattan,40.7906,-73.9325,False,0.0,0.0,0.0
telecom_cluster_01099,AT&T cluster,telecom,Queens,40.7904,-73.9243,False,0.0,0.0,0.0
telecom_cluster_01100,AT&T cluster,telecom,Queens,40.7896,-73.7828,False,0.0,0.0,0.0
telecom_cluster_01101,AT&T cluster,telecom,NJ (external),40.7944,-74.253233,False,0.0,0.0,0.0
telecom_cluster_01102,AT&T cluster,telecom,NJ (external),40.795012,-74.249825,False,0.0,0.0,0.0
telecom_cluster_01103,AT&T cluster,telecom,NJ (external),40.7926,-74.1927,False,0.0,0.0,0.0
telecom_cluster_01104,AT&T cluster,telecom,NJ (external),40.795256,-74.191711,False,0.0,0.0,0.0
telecom_cluster_01105,AT&T cluster,telecom,NJ (external),40.7948,-74.1428,False,0.0,0.0,0.0
telecom_cluster_01106,AT&T cluster,telecom,NJ (external),40.7959,-74.1414,False,0.0,0.0,0.0
telecom_cluster_01107,AT&T cluster,telecom,NJ (external),40.79335,-74.084,False,0.0,0.0,0.0
telecom_cluster_01108,AT&T cluster,telecom,NJ (external),40.79665,-74.07935,False,0.0,0.0,0.0
telecom_cluster_01109,AT&T cluster,telecom,NJ (external),40.794133,-74.058033,False,0.0,0.0,0.0
telecom_cluster_01110,AT&T cluster,telecom,NJ (external),40.7928,-74.0534,False,0.0,0.0,0.0
telecom_cluster_01111,AT&T cluster,telecom,NJ (external),40.7942,-74.0434,False,0.0,0.0,0.0
telecom_cluster_01112,AT&T cluster,telecom,NJ (external),40.7966,-74.04154,False,0.0,0.0,0.0
telecom_cluster_01113,AT&T cluster,telecom,Brooklyn,40.7935,-74.028267,False,0.0,0.0,0.0
telecom_cluster_01114,AT&T cluster,telecom,Brooklyn,40.7948,-74.0269,False,0.0,0.0,0.0
telecom_cluster_01115,AT&T cluster,telecom,Manhattan,40.794883,-73.974925,False,0.0,0.0,0.0
telecom_cluster_01116,AT&T cluster,telecom,Manhattan,40.79515,-73.9717,False,0.0,0.0,0.0
telecom_cluster_01117,AT&T cluster,telecom,Manhattan,40.7956,-73.9618,False,0.0,0.0,0.0
telecom_cluster_01118,AT&T cluster,telecom,Manhattan,40.7929,-73.93055,False,0.0,0.0,0.0
telecom_cluster_01119,AT&T cluster,telecom,Queens,40.7928,-73.92625,False,0.0,0.0,0.0
telecom_cluster_01120,AT&T cluster,telecom,Queens,40.7946,-73.9203,False,0.0,0.0,0.0
telecom_cluster_01121,AT&T cluster,telecom,Queens,40.7954,-73.8264,False,0.0,0.0,0.0
telecom_cluster_01122,AT&T cluster,telecom,Queens,40.7935,-73.7914,False,0.0,0.0,0.0
telecom_cluster_01123,AT&T cluster,telecom,NJ (external),40.7983,-74.2664,False,0.0,0.0,0.0
telecom_cluster_01124,AT&T cluster,telecom,NJ (external),40.7977,-74.2601,False,0.0,0.0,0.0
telecom_cluster_01125,AT&T cluster,telecom,NJ (external),40.79765,-74.25295,False,0.0,0.0,0.0
telecom_cluster_01126,AT&T cluster,telecom,NJ (external),40.7977,-74.1941,False,0.0,0.0,0.0
telecom_cluster_01127,AT&T cluster,telecom,NJ (external),40.79924,-74.18906,False,0.0,0.0,0.0
telecom_cluster_01128,AT&T cluster,telecom,NJ (external),40.8018,-74.186433,False,0.0,0.0,0.0
telecom_cluster_01129,AT&T cluster,telecom,NJ (external),40.8006,-74.13955,False,0.0,0.0,0.0
telecom_cluster_01130,AT&T cluster,telecom,NJ (external),40.8011,-74.08025,False,0.0,0.0,0.0
telecom_cluster_01131,AT&T cluster,telecom,NJ (external),40.800625,-74.075075,False,0.0,0.0,0.0
telecom_cluster_01132,AT&T cluster,telecom,NJ (external),40.79865,-74.06405,False,0.0,0.0,0.0
telecom_cluster_01133,AT&T cluster,telecom,NJ (external),40.79855,-74.03915,False,0.0,0.0,0.0
telecom_cluster_01134,AT&T cluster,telecom,NJ (external),40.8007,-74.037,False,0.0,0.0,0.0
telecom_cluster_01135,AT&T cluster,telecom,Brooklyn,40.7999,-74.0212,False,0.0,0.0,0.0
telecom_cluster_01136,AT&T cluster,telecom,Manhattan,40.8022,-73.9731,False,0.0,0.0,0.0
telecom_cluster_01137,AT&T cluster,telecom,Manhattan,40.8024,-73.9605,False,0.0,0.0,0.0
telecom_cluster_01138,AT&T cluster,telecom,Manhattan,40.7986,-73.9409,False,0.0,0.0,0.0
telecom_cluster_01139,AT&T cluster,telecom,Manhattan,40.8012,-73.9335,False,0.0,0.0,0.0
telecom_cluster_01140,AT&T cluster,telecom,Queens,40.7993,-73.928967,False,0.0,0.0,0.0
telecom_cluster_01141,AT&T cluster,telecom,Queens,40.7989,-73.9147,False,0.0,0.0,0.0
telecom_cluster_01142,AT&T cluster,telecom,Bronx,40.801,-73.9121,False,0.0,0.0,0.0
telecom_cluster_01143,AT&T cluster,telecom,Bronx,40.8009,-73.8276,False,0.0,0.0,0.0
telecom_cluster_01144,AT&T cluster,telecom,Bronx,40.8004,-73.7935,False,0.0,0.0,0.0
telecom_cluster_01145,AT&T cluster,telecom,NJ (external),40.80438,-74.18458,False,0.0,0.0,0.0
telecom_cluster_01146,AT&T cluster,telecom,NJ (external),40.8053,-74.140167,False,0.0,0.0,0.0
telecom_cluster_01147,AT&T cluster,telecom,NJ (external),40.8075,-74.1009,False,0.0,0.0,0.0
telecom_cluster_01148,AT&T cluster,telecom,NJ (external),40.8072,-74.0964,False,0.0,0.0,0.0
telecom_cluster_01149,AT&T cluster,telecom,NJ (external),40.80656,-74.07938,False,0.0,0.0,0.0
telecom_cluster_01150,AT&T cluster,telecom,NJ (external),40.805186,-74.074814,False,0.0,0.0,0.0
telecom_cluster_01151,AT&T cluster,telecom,NJ (external),40.8035,-74.0702,False,0.0,0.0,0.0
telecom_cluster_01152,AT&T cluster,telecom,NJ (external),40.8036,-74.0604,False,0.0,0.0,0.0
telecom_cluster_01153,AT&T cluster,telecom,NJ (external),40.805514,-74.034186,False,0.0,0.0,0.0
telecom_cluster_01154,AT&T cluster,telecom,Brooklyn,40.8043,-74.0267,False,0.0,0.0,0.0
telecom_cluster_01155,AT&T cluster,telecom,Manhattan,40.8066,-74.01665,False,0.0,0.0,0.0
