node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
hospital_bellevue_hospital_center,1.0,22.5,24,24,Bellevue Hospital Center,hospital,40.739245,-73.975488,Manhattan,0.331
power_leonard_street,1.0,0.2,0,0,Leonard Street,power,40.718405,-74.006499,Manhattan,1.962
telecom_cluster_0135,1.0,0.0,0,0,T-Mobile cluster,telecom,40.715222,-74.004078,Manhattan,1.962
subway_whitehall_st_south_ferry_rw,1.0,0.0,0,0,Whitehall St-South Ferry,subway,40.703087,-74.012994,Manhattan,1.962
subway_spring_st_6,1.0,0.0,0,0,Spring St,subway,40.722301,-73.997141,Manhattan,1.962
subway_8_st_nyu_rw,1.0,0.0,0,0,8 St-NYU,subway,40.730328,-73.992629,Manhattan,1.161
telecom_cluster_0077,1.0,0.0,0,0,AT&T cluster,telecom,40.73955,-73.97375,Manhattan,1.962
telecom_cluster_0039,1.0,0.0,0,0,AT&T cluster,telecom,40.720517,-73.994267,Manhattan,1.962
telecom_cluster_0000,1.0,0.0,0,0,AT&T cluster,telecom,40.702225,-74.013425,Manhattan,1.962
telecom_cluster_0152,1.0,0.1,0,0,T-Mobile cluster,telecom,40.720094,-73.9749,Manhattan,1.175
telecom_cluster_0222,1.0,0.1,0,0,T-Mobile Metro cluster,telecom,40.722,-73.9811,Manhattan,1.175
telecom_cluster_0058,1.0,0.4,0,0,AT&T cluster,telecom,40.730375,-73.9855,Manhattan,0.852
subway_chambers_st_jz,1.0,0.0,0,0,Chambers St,subway,40.713243,-74.003401,Manhattan,1.962
telecom_cluster_0092,1.0,0.0,0,0,AT&T cluster,telecom,40.74965,-73.98485,Manhattan,1.962
telecom_cluster_0166,1.0,0.0,0,0,T-Mobile cluster,telecom,40.730738,-74.00425,Manhattan,1.962
telecom_cluster_0011,1.0,0.3,0,0,AT&T cluster,telecom,40.704758,-73.99525,Manhattan,1.083
subway_28_st_rw,1.0,0.0,0,0,28 St,subway,40.745494,-73.988691,Manhattan,0.331
subway_bleecker_st_6,1.0,0.0,0,0,Bleecker St,subway,40.725915,-73.994659,Manhattan,1.962
subway_chambers_st_123,1.0,0.0,0,0,Chambers St,subway,40.715478,-74.009266,Manhattan,1.962
hospital_lenox_health_greenwich_village,1.0,6.8,0,24,Lenox Health Greenwich Village,hospital,40.737719,-74.000864,Manhattan,0.81
telecom_cluster_0159,1.0,0.1,0,0,T-Mobile cluster,telecom,40.724733,-73.98983,Manhattan,1.175
telecom_cluster_0031,1.0,0.2,0,0,AT&T cluster,telecom,40.715525,-73.98355,Manhattan,1.175
telecom_cluster_0193,1.0,0.0,0,0,T-Mobile cluster,telecom,40.74085,-73.972275,Manhattan,1.962
subway_grand_st_bd,1.0,0.0,0,0,Grand St,subway,40.718267,-73.993753,Manhattan,1.962
telecom_cluster_0150,1.0,0.3,0,0,T-Mobile cluster,telecom,40.720182,-73.985086,Manhattan,1.175
telecom_cluster_0057,1.0,0.3,0,0,AT&T cluster,telecom,40.730015,-73.98957,Manhattan,0.852
telecom_cluster_0171,1.0,0.3,0,0,T-Mobile cluster,telecom,40.730021,-73.980354,Manhattan,0.852
telecom_cluster_0054,1.0,0.0,0,0,AT&T cluster,telecom,40.730612,-74.004212,Manhattan,1.962
telecom_cluster_0151,1.0,0.1,0,0,T-Mobile cluster,telecom,40.720592,-73.980617,Manhattan,1.175
subway_bowling_green_45,1.0,0.0,0,0,Bowling Green,subway,40.704817,-74.014065,Manhattan,1.962
telecom_cluster_0105,1.0,0.0,0,0,T-Mobile cluster,telecom,40.701986,-74.011614,Manhattan,1.962
telecom_cluster_0169,1.0,0.3,0,0,T-Mobile cluster,telecom,40.730273,-73.989905,Manhattan,0.852
telecom_cluster_0083,1.0,0.0,0,0,AT&T cluster,telecom,40.744833,-73.9853,Manhattan,1.962
subway_cortlandt_st_rw,1.0,0.0,0,0,Cortlandt St,subway,40.710668,-74.011029,Manhattan,1.962
telecom_cluster_0104,1.0,0.0,0,0,T-Mobile cluster,telecom,40.701662,-74.014288,Manhattan,1.962
telecom_cluster_0085,1.0,0.0,0,0,AT&T cluster,telecom,40.7446,-73.9746,Manhattan,1.962
subway_bowery_jz,1.0,0.0,0,0,Bowery,subway,40.72028,-73.993915,Manhattan,1.962
subway_houston_st_1,1.0,0.0,0,0,Houston St,subway,40.728251,-74.005367,Manhattan,1.962
telecom_cluster_0069,1.0,0.3,0,0,AT&T cluster,telecom,40.7344,-73.9723,Manhattan,0.852
subway_14_st_union_sq_nqrw,1.0,0.0,0,0,14 St-Union Sq,subway,40.735736,-73.990568,Manhattan,0.81
telecom_cluster_0036,1.0,0.0,0,0,AT&T cluster,telecom,40.72136,-74.01094,Manhattan,1.962
telecom_cluster_0015,1.0,0.0,0,0,AT&T cluster,telecom,40.710593,-74.013364,Manhattan,1.962
telecom_cluster_0032,1.0,0.3,0,0,AT&T cluster,telecom,40.71554,-73.98004,Manhattan,1.175
subway_canal_st_ace,1.0,0.0,0,0,Canal St,subway,40.720824,-74.005229,Manhattan,1.962
telecom_cluster_0162,1.0,0.0,0,0,T-Mobile cluster,telecom,40.724518,-73.974424,Manhattan,1.175
telecom_cluster_0191,1.0,2.5,0,6,T-Mobile cluster,telecom,40.73884,-73.98014,Manhattan,0.331
telecom_cluster_0127,1.0,0.0,0,0,T-Mobile cluster,telecom,40.709445,-73.990682,Manhattan,1.962
hospital_nyu_langone_hospitals,1.0,0.4,0,0,Nyu Langone Hospitals,hospital,40.741471,-73.973622,Manhattan,1.962
telecom_cluster_0155,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7238,-74.0113,Manhattan,1.962
telecom_cluster_0192,1.0,0.0,0,0,T-Mobile cluster,telecom,40.740357,-73.974538,Manhattan,1.962
telecom_cluster_0055,1.0,0.0,0,0,AT&T cluster,telecom,40.730335,-74.000276,Manhattan,1.962
subway_wtc_cortlandt_1,1.0,0.0,0,0,WTC Cortlandt,subway,40.711835,-74.012188,Manhattan,1.962
telecom_cluster_0009,1.0,0.0,0,0,AT&T cluster,telecom,40.7031,-74.0074,Manhattan,1.962
telecom_cluster_0112,1.0,0.0,0,0,T-Mobile cluster,telecom,40.703067,-74.018433,Manhattan,1.962
telecom_cluster_0025,1.0,0.0,0,0,AT&T cluster,telecom,40.7139,-74.0145,Manhattan,1.962
telecom_cluster_0001,1.0,0.0,0,0,AT&T cluster,telecom,40.7016,-74.011525,Manhattan,1.962
telecom_cluster_0167,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7301,-73.999715,Manhattan,1.962
