arm=static_mask  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep01 step 8100/13600: loss = 0.08378
  Ep01 step 8200/13600: loss = 0.08346
  Ep01 step 8300/13600: loss = 0.08453
  Ep01 step 8400/13600: loss = 0.08276
  Ep01 step 8500/13600: loss = 0.08127
  Ep01 step 8600/13600: loss = 0.08491
  Ep01 step 8700/13600: loss = 0.08488
  Ep01 step 8800/13600: loss = 0.08618
  Ep01 step 8900/13600: loss = 0.08441
  Ep01 step 9000/13600: loss = 0.08498
  Ep01 step 9100/13600: loss = 0.08377
  Ep01 step 9200/13600: loss = 0.08541
  Ep01 step 9300/13600: loss = 0.08407
  Ep01 step 9400/13600: loss = 0.08422
  Ep01 step 9500/13600: loss = 0.08584
  Ep01 step 9600/13600: loss = 0.08223
  Ep01 step 9700/13600: loss = 0.08176
  Ep01 step 9800/13600: loss = 0.08152
  Ep01 step 9900/13600: loss = 0.08577
  Ep01 step 10000/13600: loss = 0.08492
  Ep01 step 10100/13600: loss = 0.08533
  Ep01 step 10200/13600: loss = 0.08269
  Ep01 step 10300/13600: loss = 0.08400
  Ep01 step 10400/13600: loss = 0.08396
  Ep01 step 10500/13600: loss = 0.08471
  Ep01 step 10600/13600: loss = 0.08186
  Ep01 step 10700/13600: loss = 0.08072
  Ep01 step 10800/13600: loss = 0.08423
  Ep01 step 10900/13600: loss = 0.08155
  Ep01 step 11000/13600: loss = 0.08418
  Ep01 step 11100/13600: loss = 0.08378
  Ep01 step 11200/13600: loss = 0.08653
  Ep01 step 11300/13600: loss = 0.08458
  Ep01 step 11400/13600: loss = 0.08196
  Ep01 step 11500/13600: loss = 0.08028
  Ep01 step 11600/13600: loss = 0.08231
  Ep01 step 11700/13600: loss = 0.08758
  Ep01 step 11800/13600: loss = 0.08174
  Ep01 step 11900/13600: loss = 0.08257
  Ep01 step 12000/13600: loss = 0.08284
  Ep01 step 12100/13600: loss = 0.08595
  Ep01 step 12200/13600: loss = 0.08691
  Ep01 step 12300/13600: loss = 0.08545
  Ep01 step 12400/13600: loss = 0.08245
  Ep01 step 12500/13600: loss = 0.08576
  Ep01 step 12600/13600: loss = 0.07932
  Ep01 step 12700/13600: loss = 0.08601
  Ep01 step 12800/13600: loss = 0.08532
  Ep01 step 12900/13600: loss = 0.08225
  Ep01 step 13000/13600: loss = 0.08292
  Ep01 step 13100/13600: loss = 0.08539
  Ep01 step 13200/13600: loss = 0.08359
  Ep01 step 13300/13600: loss = 0.08560
  Ep01 step 13400/13600: loss = 0.08712
  Ep01 step 13500/13600: loss = 0.08217
  Ep01 step 13600/13600: loss = 0.08392

Epoch 01/6 | train=0.08483 val=0.10959 | AUC=['0.999', '0.995', '0.991', '0.988'] PR=['0.987', '0.959', '0.941', '0.946'] | CASCADE-only AUC=['0.998', '0.992', '0.987', '0.984'] PR=['0.949', '0.906', '0.885', '0.907'] | mono_viol=0.00000 | 1340s

  [checkpoint] best.pt updated (epoch 1, val_loss=0.10959)
  Ep02 step  100/13600: loss = 0.08279
  Ep02 step  200/13600: loss = 0.08409
  Ep02 step  300/13600: loss = 0.08422
  Ep02 step  400/13600: loss = 0.08170
  Ep02 step  500/13600: loss = 0.08032
  Ep02 step  600/13600: loss = 0.08297
  Ep02 step  700/13600: loss = 0.08269
  Ep02 step  800/13600: loss = 0.08394
  Ep02 step  900/13600: loss = 0.08494
  Ep02 step 1000/13600: loss = 0.08236
  Ep02 step 1100/13600: loss = 0.08533
  Ep02 step 1200/13600: loss = 0.08269
  Ep02 step 1300/13600: loss = 0.08371
  Ep02 step 1400/13600: loss = 0.08407
  Ep02 step 1500/13600: loss = 0.08669
  Ep02 step 1600/13600: loss = 0.08399
  Ep02 step 1700/13600: loss = 0.08187
  Ep02 step 1800/13600: loss = 0.08672
  Ep02 step 1900/13600: loss = 0.08319
  Ep02 step 2000/13600: loss = 0.08718
  Ep02 step 2100/13600: loss = 0.08226
  Ep02 step 2200/13600: loss = 0.08351
  Ep02 step 2300/13600: loss = 0.08261
  Ep02 step 2400/13600: loss = 0.08202
  Ep02 step 2500/13600: loss = 0.08271
  Ep02 step 2600/13600: loss = 0.08401
  Ep02 step 2700/13600: loss = 0.08178
  Ep02 step 2800/13600: loss = 0.08460
  Ep02 step 2900/13600: loss = 0.07946
  Ep02 step 3000/13600: loss = 0.08261
  Ep02 step 3100/13600: loss = 0.08244
  Ep02 step 3200/13600: loss = 0.08167
  Ep02 step 3300/13600: loss = 0.08865
  Ep02 step 3400/13600: loss = 0.08287
  Ep02 step 3500/13600: loss = 0.08322
  Ep02 step 3600/13600: loss = 0.08107
  Ep02 step 3700/13600: loss = 0.08687
  Ep02 step 3800/13600: loss = 0.08173
  Ep02 step 3900/13600: loss = 0.08402
  Ep02 step 4000/13600: loss = 0.08299
  Ep02 step 4100/13600: loss = 0.08221
  Ep02 step 4200/13600: loss = 0.08420
  Ep02 step 4300/13600: loss = 0.08308
  Ep02 step 4400/13600: loss = 0.07771
  Ep02 step 4500/13600: loss = 0.08387
  Ep02 step 4600/13600: loss = 0.08476
  Ep02 step 4700/13600: loss = 0.08283
  Ep02 step 4800/13600: loss = 0.08567
  Ep02 step 4900/13600: loss = 0.08260
  Ep02 step 5000/13600: loss = 0.08641
  Ep02 step 5100/13600: loss = 0.09008
  Ep02 step 5200/13600: loss = 0.08325
  Ep02 step 5300/13600: loss = 0.08460
  Ep02 step 5400/13600: loss = 0.08233
  Ep02 step 5500/13600: loss = 0.08414
  Ep02 step 5600/13600: loss = 0.08404
  Ep02 step 5700/13600: loss = 0.08205
  Ep02 step 5800/13600: loss = 0.08322
  Ep02 step 5900/13600: loss = 0.08338
  Ep02 step 6000/13600: loss = 0.08407
  Ep02 step 6100/13600: loss = 0.08260
  Ep02 step 6200/13600: loss = 0.08292
  Ep02 step 6300/13600: loss = 0.08156
  Ep02 step 6400/13600: loss = 0.08267
  Ep02 step 6500/13600: loss = 0.08307
  Ep02 step 6600/13600: loss = 0.08451
  Ep02 step 6700/13600: loss = 0.07989
  Ep02 step 6800/13600: loss = 0.08126
  Ep02 step 6900/13600: loss = 0.08216
  Ep02 step 7000/13600: loss = 0.08223
  Ep02 step 7100/13600: loss = 0.08497
  Ep02 step 7200/13600: loss = 0.08259
  Ep02 step 7300/13600: loss = 0.08463
  Ep02 step 7400/13600: loss = 0.08193
  Ep02 step 7500/13600: loss = 0.08143
  Ep02 step 7600/13600: loss = 0.08062
  Ep02 step 7700/13600: loss = 0.08520
  Ep02 step 7800/13600: loss = 0.08322
  Ep02 step 7900/13600: loss = 0.08577
  Ep02 step 8000/13600: loss = 0.08154
  Ep02 step 8100/13600: loss = 0.08483
  Ep02 step 8200/13600: loss = 0.08405
  Ep02 step 8300/13600: loss = 0.08302
  Ep02 step 8400/13600: loss = 0.07945
  Ep02 step 8500/13600: loss = 0.08425
  Ep02 step 8600/13600: loss = 0.08017
  Ep02 step 8700/13600: loss = 0.08231
  Ep02 step 8800/13600: loss = 0.08217
  Ep02 step 8900/13600: loss = 0.08504
  Ep02 step 9000/13600: loss = 0.08342
  Ep02 step 9100/13600: loss = 0.07674
  Ep02 step 9200/13600: loss = 0.08690
  Ep02 step 9300/13600: loss = 0.08501
  Ep02 step 9400/13600: loss = 0.08270
  Ep02 step 9500/13600: loss = 0.08435
  Ep02 step 9600/13600: loss = 0.08160
  Ep02 step 9700/13600: loss = 0.08371
  Ep02 step 9800/13600: loss = 0.08249
  Ep02 step 9900/13600: loss = 0.08537
  Ep02 step 10000/13600: loss = 0.08650
  Ep02 step 10100/13600: loss = 0.08220
  Ep02 step 10200/13600: loss = 0.08561
  Ep02 step 10300/13600: loss = 0.08108
  Ep02 step 10400/13600: loss = 0.08454
  Ep02 step 10500/13600: loss = 0.08258
  Ep02 step 10600/13600: loss = 0.08717
  Ep02 step 10700/13600: loss = 0.08147
  Ep02 step 10800/13600: loss = 0.08389
  Ep02 step 10900/13600: loss = 0.08058
  Ep02 step 11000/13600: loss = 0.08361
  Ep02 step 11100/13600: loss = 0.08350
  Ep02 step 11200/13600: loss = 0.08262
  Ep02 step 11300/13600: loss = 0.08576
  Ep02 step 11400/13600: loss = 0.08489
  Ep02 step 11500/13600: loss = 0.08284
  Ep02 step 11600/13600: loss = 0.08510
  Ep02 step 11700/13600: loss = 0.08102
  Ep02 step 11800/13600: loss = 0.08353
  Ep02 step 11900/13600: loss = 0.08285
  Ep02 step 12000/13600: loss = 0.08386
  Ep02 step 12100/13600: loss = 0.08264
