arm=dynamic_mask  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep03 step 3400/13600: loss = 0.16102
  Ep03 step 3500/13600: loss = 0.15975
  Ep03 step 3600/13600: loss = 0.16349
  Ep03 step 3700/13600: loss = 0.16527
  Ep03 step 3800/13600: loss = 0.16857
  Ep03 step 3900/13600: loss = 0.15614
  Ep03 step 4000/13600: loss = 0.17281
  Ep03 step 4100/13600: loss = 0.17509
  Ep03 step 4200/13600: loss = 0.16593
  Ep03 step 4300/13600: loss = 0.16973
  Ep03 step 4400/13600: loss = 0.16215
  Ep03 step 4500/13600: loss = 0.17243
  Ep03 step 4600/13600: loss = 0.14944
  Ep03 step 4700/13600: loss = 0.16730
  Ep03 step 4800/13600: loss = 0.16655
  Ep03 step 4900/13600: loss = 0.16932
  Ep03 step 5000/13600: loss = 0.16370
  Ep03 step 5100/13600: loss = 0.16061
  Ep03 step 5200/13600: loss = 0.16159
  Ep03 step 5300/13600: loss = 0.16005
  Ep03 step 5400/13600: loss = 0.15873
  Ep03 step 5500/13600: loss = 0.16043
  Ep03 step 5600/13600: loss = 0.16495
  Ep03 step 5700/13600: loss = 0.15700
  Ep03 step 5800/13600: loss = 0.16114
  Ep03 step 5900/13600: loss = 0.15426
  Ep03 step 6000/13600: loss = 0.15996
  Ep03 step 6100/13600: loss = 0.16446
  Ep03 step 6200/13600: loss = 0.16716
  Ep03 step 6300/13600: loss = 0.16035
  Ep03 step 6400/13600: loss = 0.15445
  Ep03 step 6500/13600: loss = 0.15377
  Ep03 step 6600/13600: loss = 0.16729
  Ep03 step 6700/13600: loss = 0.16481
  Ep03 step 6800/13600: loss = 0.16048
  Ep03 step 6900/13600: loss = 0.15492
  Ep03 step 7000/13600: loss = 0.15213
  Ep03 step 7100/13600: loss = 0.15363
  Ep03 step 7200/13600: loss = 0.17119
  Ep03 step 7300/13600: loss = 0.15581
  Ep03 step 7400/13600: loss = 0.16089
  Ep03 step 7500/13600: loss = 0.16921
  Ep03 step 7600/13600: loss = 0.15557
  Ep03 step 7700/13600: loss = 0.14667
  Ep03 step 7800/13600: loss = 0.16950
  Ep03 step 7900/13600: loss = 0.15201
  Ep03 step 8000/13600: loss = 0.16816
  Ep03 step 8100/13600: loss = 0.15910
  Ep03 step 8200/13600: loss = 0.15736
  Ep03 step 8300/13600: loss = 0.16214
  Ep03 step 8400/13600: loss = 0.16175
  Ep03 step 8500/13600: loss = 0.15891
  Ep03 step 8600/13600: loss = 0.14874
  Ep03 step 8700/13600: loss = 0.15464
