arm=static_timing  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep01 step 5100/13600: loss = 0.07832
  Ep01 step 5200/13600: loss = 0.07773
  Ep01 step 5300/13600: loss = 0.07799
  Ep01 step 5400/13600: loss = 0.07622
  Ep01 step 5500/13600: loss = 0.07621
  Ep01 step 5600/13600: loss = 0.07622
  Ep01 step 5700/13600: loss = 0.07530
  Ep01 step 5800/13600: loss = 0.07672
  Ep01 step 5900/13600: loss = 0.07815
  Ep01 step 6000/13600: loss = 0.07960
  Ep01 step 6100/13600: loss = 0.07447
  Ep01 step 6200/13600: loss = 0.07623
  Ep01 step 6300/13600: loss = 0.07744
  Ep01 step 6400/13600: loss = 0.07687
  Ep01 step 6500/13600: loss = 0.07570
  Ep01 step 6600/13600: loss = 0.07575
  Ep01 step 6700/13600: loss = 0.07596
  Ep01 step 6800/13600: loss = 0.07349
  Ep01 step 6900/13600: loss = 0.08049
  Ep01 step 7000/13600: loss = 0.08043
  Ep01 step 7100/13600: loss = 0.07422
  Ep01 step 7200/13600: loss = 0.08057
  Ep01 step 7300/13600: loss = 0.07636
  Ep01 step 7400/13600: loss = 0.07775
  Ep01 step 7500/13600: loss = 0.07730
  Ep01 step 7600/13600: loss = 0.07645
  Ep01 step 7700/13600: loss = 0.07684
  Ep01 step 7800/13600: loss = 0.07912
  Ep01 step 7900/13600: loss = 0.07698
  Ep01 step 8000/13600: loss = 0.07584
  Ep01 step 8100/13600: loss = 0.07400
  Ep01 step 8200/13600: loss = 0.07617
  Ep01 step 8300/13600: loss = 0.07699
  Ep01 step 8400/13600: loss = 0.07351
  Ep01 step 8500/13600: loss = 0.07317
  Ep01 step 8600/13600: loss = 0.07460
  Ep01 step 8700/13600: loss = 0.07415
  Ep01 step 8800/13600: loss = 0.07985
  Ep01 step 8900/13600: loss = 0.07750
  Ep01 step 9000/13600: loss = 0.07624
  Ep01 step 9100/13600: loss = 0.07579
  Ep01 step 9200/13600: loss = 0.07611
  Ep01 step 9300/13600: loss = 0.07801
  Ep01 step 9400/13600: loss = 0.07894
  Ep01 step 9500/13600: loss = 0.07715
  Ep01 step 9600/13600: loss = 0.07486
  Ep01 step 9700/13600: loss = 0.07375
  Ep01 step 9800/13600: loss = 0.07278
  Ep01 step 9900/13600: loss = 0.07581
  Ep01 step 10000/13600: loss = 0.07646
  Ep01 step 10100/13600: loss = 0.07633
  Ep01 step 10200/13600: loss = 0.07611
  Ep01 step 10300/13600: loss = 0.07638
  Ep01 step 10400/13600: loss = 0.07601
  Ep01 step 10500/13600: loss = 0.07796
  Ep01 step 10600/13600: loss = 0.07380
  Ep01 step 10700/13600: loss = 0.07262
  Ep01 step 10800/13600: loss = 0.07567
  Ep01 step 10900/13600: loss = 0.07168
  Ep01 step 11000/13600: loss = 0.07582
  Ep01 step 11100/13600: loss = 0.07483
  Ep01 step 11200/13600: loss = 0.07928
  Ep01 step 11300/13600: loss = 0.07663
  Ep01 step 11400/13600: loss = 0.07366
  Ep01 step 11500/13600: loss = 0.06990
  Ep01 step 11600/13600: loss = 0.07291
  Ep01 step 11700/13600: loss = 0.08073
  Ep01 step 11800/13600: loss = 0.07504
  Ep01 step 11900/13600: loss = 0.07323
  Ep01 step 12000/13600: loss = 0.07482
  Ep01 step 12100/13600: loss = 0.07880
  Ep01 step 12200/13600: loss = 0.07863
  Ep01 step 12300/13600: loss = 0.07698
  Ep01 step 12400/13600: loss = 0.07527
