node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality
fuel_station_peninsula_blvd_0088,fuel,40.62844,-73.73722,0.0,0.965,0.0
fuel_station_peninsula_blvd_0089,fuel,40.63413,-73.72241,0.0,0.965,0.0
fuel_station_ramp_0078,fuel,40.62775,-73.73918,0.0,0.965,0.0
fuel_station_unknown_gas_station_0256,fuel,40.63387,-73.73985,0.0,0.965,0.0
power_tap135492,power,40.63748,-73.73302,0.0,0.965,0.0
power_woodmere,power,40.637,-73.73267,0.0,0.965,0.0
telecom_cluster_00088,telecom,40.6279,-73.7393,0.0,0.965,0.0
telecom_cluster_01954,telecom,40.6388,-73.7545,0.0,0.965,0.0
subway_avenue_u_q,subway,40.5993,-73.95593,0.0,0.964,0.0
subway_rector_st_rw,subway,40.70722,-74.01334,0.0,0.964,0.0
telecom_cluster_04131,telecom,40.6755,-73.9975,0.0,0.956,0.0
telecom_cluster_00455,telecom,40.7072,-73.9684,0.0,0.955,0.0
telecom_cluster_02761,telecom,40.72302,-73.84629,0.0,0.955,0.0
telecom_cluster_02976,telecom,40.74518,-73.8601,0.0,0.955,0.0
telecom_cluster_00703,telecom,40.7356,-73.9551,0.0,0.953,0.0
telecom_cluster_02842,telecom,40.7361,-73.9533,0.0,0.953,0.0
power_east_36th_street,power,40.74495,-73.97134,0.0,0.952,0.0
subway_28_st_6,subway,40.74307,-73.98426,0.0,0.952,0.0
subway_33_st_6,subway,40.74608,-73.98208,0.0,0.952,0.0
subway_42_st_bryant_pk_bdfm,subway,40.75422,-73.98457,0.0,0.952,0.0
subway_5_av_7,subway,40.75382,-73.98196,0.0,0.952,0.0
subway_grand_central_42_st_456,subway,40.75178,-73.97685,0.0,0.952,0.0
subway_grand_central_42_st_7,subway,40.75143,-73.97604,0.0,0.952,0.0
subway_grand_central_42_st_s,subway,40.75277,-73.97919,0.0,0.952,0.0
subway_vernon_blvd_jackson_av_7,subway,40.74263,-73.95358,0.0,0.952,0.0
telecom_cluster_00790,telecom,40.7446,-73.9746,0.0,0.952,0.0
telecom_cluster_00837,telecom,40.74962,-73.98492,0.0,0.952,0.0
telecom_cluster_00838,telecom,40.7522,-73.9801,0.0,0.952,0.0
telecom_cluster_00839,telecom,40.75118,-73.97657,0.0,0.952,0.0
telecom_cluster_00840,telecom,40.7477,-73.9684,0.0,0.952,0.0
telecom_cluster_00876,telecom,40.75439,-73.98043,0.0,0.952,0.0
telecom_cluster_00877,telecom,40.75376,-73.97472,0.0,0.952,0.0
telecom_cluster_00879,telecom,40.7527,-73.964,0.0,0.952,0.0
telecom_cluster_02900,telecom,40.74125,-73.9536,0.0,0.952,0.0
telecom_cluster_03015,telecom,40.75019,-73.98526,0.0,0.952,0.0
telecom_cluster_03016,telecom,40.75091,-73.97978,0.0,0.952,0.0
telecom_cluster_03018,telecom,40.74992,-73.96868,0.0,0.952,0.0
telecom_cluster_03019,telecom,40.75096,-73.96604,0.0,0.952,0.0
telecom_cluster_03076,telecom,40.7548,-73.98004,0.0,0.952,0.0
telecom_cluster_03077,telecom,40.75516,-73.97504,0.0,0.952,0.0
telecom_cluster_03078,telecom,40.75505,-73.97112,0.0,0.952,0.0
telecom_cluster_03039,telecom,40.74939,-73.86064,0.0,0.951,0.0
telecom_cluster_03185,telecom,40.7645,-74.0077,0.0,0.95,0.0
telecom_cluster_03186,telecom,40.7655,-74.00595,0.0,0.95,0.0
telecom_cluster_03239,telecom,40.7714,-74.0047,0.0,0.95,0.0
telecom_cluster_03287,telecom,40.7738,-74.0097,0.0,0.95,0.0
telecom_cluster_03680,telecom,40.8325,-73.9078,0.0,0.95,0.0
telecom_cluster_03740,telecom,40.84465,-73.90885,0.0,0.95,0.0
telecom_cluster_03741,telecom,40.84485,-73.90345,0.0,0.95,0.0
telecom_cluster_03623,telecom,40.8231,-73.9026,0.0,0.947,0.0
fuel_station_171_0939,fuel,40.89486,-73.88257,0.0,0.945,0.0
fuel_station_bp_0180,fuel,40.86611,-73.92839,0.0,0.945,0.0
fuel_station_bp_0366,fuel,40.85994,-73.90254,0.0,0.945,0.0
fuel_station_bp_0656,fuel,40.86632,-73.91799,0.0,0.945,0.0
fuel_station_citgo_0819,fuel,40.86694,-73.92271,0.0,0.945,0.0
