node_id,infra_type,lon,lat,flood_depth_m,flooded
power_clifton,power,-74.16475763199998,40.855766078000045,0.0,False
power_jackson_road,power,-74.24507554299998,40.906777153000064,0.0,False
power_unknown132603,power,-74.21207955899996,40.63412187000006,0.0,False
power_linden,power,-74.21129433699997,40.62404604200003,0.0,False
power_unknown132611,power,-74.21054552199996,40.621478710000076,0.0,False
power_unknown132612,power,-74.20801377599997,40.62106944300007,0.0,False
power_unknown133139,power,-74.21448144899995,40.63038990300004,0.0,False
power_bayway,power,-74.20594870199994,40.64459528500004,0.0,False
power_unknown133141,power,-74.23396868699996,40.641659952000055,0.0,False
power_doremus_place,power,-74.22286357199994,40.69680505300005,0.0,False
power_stanley_terrace,power,-74.26629677599993,40.71243775000005,0.0,False
power_north_avenue,power,-74.17423443799998,40.66920176100007,0.0,False
power_bruckner,power,-73.91108504199997,40.799070468000025,0.0,False
power_tremont,power,-73.86333756199997,40.84268252100003,0.0,False
power_brownsville,power,-73.89868889499996,40.66966294100007,0.0,False
power_bensonhurst,power,-73.97592908599995,40.621569614000066,0.0,False
power_east_64th_street,power,-73.91757725199994,40.619743665000044,0.0,False
power_avenue_n,power,-73.93035980899998,40.618498128000056,0.0,False
power_mill_avenue,power,-73.91334016499997,40.61453716800003,0.0,False
power_east_83rd_street,power,-73.90238141699996,40.62886795000003,0.0,False
power_livonia_avenue,power,-73.88909820299995,40.66573080100005,0.0,False
power_gowanus,power,-74.00302030199998,40.66195172600004,0.0,False
power_hudson_avenue,power,-73.98173628399996,40.703808553000044,0.0,False
power_farragut,power,-73.98451119499998,40.705098649000035,0.0,False
power_water_street,power,-73.98188321199996,40.70337027200003,0.0,False
power_unknown129540,power,-73.73088715899996,40.61906673300007,0.0,False
power_unknown129559,power,-73.70274335899995,40.75377599900003,0.0,False
power_great_neck,power,-73.72056851299999,40.78875025900004,0.0,False
power_lake_success,power,-73.70145527799997,40.753226734000066,0.0,False
power_hewlett,power,-73.70603180099994,40.63703514600007,0.0,False
power_central_avenue,power,-73.70971227199993,40.67709715500007,0.0,False
power_woodmere,power,-73.73267035099997,40.636996819000046,0.0,False
power_east_13th_street,power,-73.97462188199995,40.727543886000035,0.8,True
power_parkview,power,-73.93655630999996,40.80774606600005,0.0,False
power_leonard_street,power,-74.00649935899997,40.71840475600004,0.0,False
power_west_65th_street,power,-73.98808829599994,40.775838014000044,0.0,False
power_east_36th_street,power,-73.97133635199998,40.74494702900006,0.0,False
power_west_19th_street,power,-73.99733189899996,40.74123928000006,0.0,False
power_east_63rd_street,power,-73.96098641199995,40.76289096800008,0.0,False
power_unknown141001,power,-73.98923462099998,40.76869228600003,0.0,False
power_east_75th_street,power,-73.95045861499995,40.76843606500006,0.0,False
power_west_49th_street,power,-73.99588389499996,40.76600293900003,0.0,False
power_cherry_street,power,-73.99068594499994,40.71136985000004,0.0,False
power_unknown124169,power,-73.89809361399995,40.78178567900005,0.0,False
power_west_astoria,power,-73.9093126,40.78769285900006,0.0,False
power_east_astoria,power,-73.90340388199996,40.783834496000054,0.0,False
power_unknown129913,power,-73.75004533299995,40.668090101000075,0.0,False
