fips_code,county,state,customers_out,run_start_time
25025,Suffolk,Massachusetts,1,2018-01-04 14:00:00
25025,Suffolk,Massachusetts,1,2018-01-04 14:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 14:30:01
25025,Suffolk,Massachusetts,2,2018-01-04 14:45:00
25025,Suffolk,Massachusetts,2,2018-01-04 15:00:00
25025,Suffolk,Massachusetts,2,2018-01-04 15:15:00
25025,Suffolk,Massachusetts,2,2018-01-04 15:30:00
25025,Suffolk,Massachusetts,1,2018-01-04 15:45:00
25025,Suffolk,Massachusetts,96,2018-01-04 16:00:00
25025,Suffolk,Massachusetts,267,2018-01-04 16:15:00
25025,Suffolk,Massachusetts,266,2018-01-04 16:30:00
25025,Suffolk,Massachusetts,266,2018-01-04 16:45:00
25025,Suffolk,Massachusetts,266,2018-01-04 17:00:00
25025,Suffolk,Massachusetts,267,2018-01-04 17:15:00
25025,Suffolk,Massachusetts,266,2018-01-04 17:30:00
25025,Suffolk,Massachusetts,126,2018-01-04 18:00:01
25025,Suffolk,Massachusetts,126,2018-01-04 18:15:00
25025,Suffolk,Massachusetts,130,2018-01-04 18:30:00
25025,Suffolk,Massachusetts,133,2018-01-04 18:45:00
25025,Suffolk,Massachusetts,180,2018-01-04 19:00:00
25025,Suffolk,Massachusetts,134,2018-01-04 19:15:00
25025,Suffolk,Massachusetts,135,2018-01-04 19:30:00
25025,Suffolk,Massachusetts,141,2018-01-04 19:45:00
25025,Suffolk,Massachusetts,220,2018-01-04 20:00:00
25025,Suffolk,Massachusetts,219,2018-01-04 20:15:00
25025,Suffolk,Massachusetts,93,2018-01-04 20:30:00
25025,Suffolk,Massachusetts,93,2018-01-04 20:45:00
25025,Suffolk,Massachusetts,104,2018-01-04 21:00:00
25025,Suffolk,Massachusetts,103,2018-01-04 21:15:00
25025,Suffolk,Massachusetts,107,2018-01-04 21:30:00
25025,Suffolk,Massachusetts,131,2018-01-04 21:45:00
25025,Suffolk,Massachusetts,128,2018-01-04 22:00:00
25025,Suffolk,Massachusetts,123,2018-01-04 22:15:00
25025,Suffolk,Massachusetts,150,2018-01-04 22:30:00
25025,Suffolk,Massachusetts,150,2018-01-04 22:45:00
25025,Suffolk,Massachusetts,151,2018-01-04 23:00:00
25025,Suffolk,Massachusetts,149,2018-01-04 23:15:00
25025,Suffolk,Massachusetts,149,2018-01-04 23:30:00
25025,Suffolk,Massachusetts,149,2018-01-04 23:45:00
25025,Suffolk,Massachusetts,127,2018-01-05 00:00:00
25025,Suffolk,Massachusetts,104,2018-01-05 00:15:00
25025,Suffolk,Massachusetts,104,2018-01-05 00:30:00
25025,Suffolk,Massachusetts,104,2018-01-05 00:45:00
