arm=static_timing  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_2x2_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step 4800/13600: loss = 0.07795
  Ep02 step 4900/13600: loss = 0.07240
  Ep02 step 5000/13600: loss = 0.07867
  Ep02 step 5100/13600: loss = 0.07812
  Ep02 step 5200/13600: loss = 0.07387
  Ep02 step 5300/13600: loss = 0.07668
  Ep02 step 5400/13600: loss = 0.07239
  Ep02 step 5500/13600: loss = 0.07559
  Ep02 step 5600/13600: loss = 0.07704
  Ep02 step 5700/13600: loss = 0.07376
  Ep02 step 5800/13600: loss = 0.07341
  Ep02 step 5900/13600: loss = 0.07414
  Ep02 step 6000/13600: loss = 0.08153
  Ep02 step 6100/13600: loss = 0.07627
  Ep02 step 6200/13600: loss = 0.07460
  Ep02 step 6300/13600: loss = 0.06996
  Ep02 step 6400/13600: loss = 0.07375
  Ep02 step 6500/13600: loss = 0.07570
  Ep02 step 6600/13600: loss = 0.07669
  Ep02 step 6700/13600: loss = 0.07081
  Ep02 step 6800/13600: loss = 0.07193
  Ep02 step 6900/13600: loss = 0.07232
  Ep02 step 7000/13600: loss = 0.07557
  Ep02 step 7100/13600: loss = 0.07478
  Ep02 step 7200/13600: loss = 0.07345
  Ep02 step 7300/13600: loss = 0.07954
  Ep02 step 7400/13600: loss = 0.07337
  Ep02 step 7500/13600: loss = 0.07214
  Ep02 step 7600/13600: loss = 0.07103
  Ep02 step 7700/13600: loss = 0.07584
  Ep02 step 7800/13600: loss = 0.07344
  Ep02 step 7900/13600: loss = 0.07661
  Ep02 step 8000/13600: loss = 0.07301
  Ep02 step 8100/13600: loss = 0.07722
  Ep02 step 8200/13600: loss = 0.07926
  Ep02 step 8300/13600: loss = 0.07491
  Ep02 step 8400/13600: loss = 0.07256
  Ep02 step 8500/13600: loss = 0.07577
  Ep02 step 8600/13600: loss = 0.07228
  Ep02 step 8700/13600: loss = 0.07522
  Ep02 step 8800/13600: loss = 0.07412
  Ep02 step 8900/13600: loss = 0.07783
  Ep02 step 9000/13600: loss = 0.07559
  Ep02 step 9100/13600: loss = 0.06998
  Ep02 step 9200/13600: loss = 0.07800
  Ep02 step 9300/13600: loss = 0.07801
  Ep02 step 9400/13600: loss = 0.07446
  Ep02 step 9500/13600: loss = 0.07676
  Ep02 step 9600/13600: loss = 0.07263
  Ep02 step 9700/13600: loss = 0.07582
  Ep02 step 9800/13600: loss = 0.07446
  Ep02 step 9900/13600: loss = 0.07577
  Ep02 step 10000/13600: loss = 0.07750
  Ep02 step 10100/13600: loss = 0.07303
  Ep02 step 10200/13600: loss = 0.08133
  Ep02 step 10300/13600: loss = 0.07374
  Ep02 step 10400/13600: loss = 0.07702
  Ep02 step 10500/13600: loss = 0.07251
  Ep02 step 10600/13600: loss = 0.08250
  Ep02 step 10700/13600: loss = 0.07164
