osi_node_id,osi_name,osi_asset_type,Rutgers_data,match_type,distance_m,ward_pp_bus_idx,ward_bus_name,n_times_failed,n_converged_runs,pct_failed
P24,Bayswater Peaking Facility Llc,plant,False,nearest_neighbor,167.93,622,FAR ROCKAWAY,10,1000,1.0
P26,P26,plant,False,nearest_neighbor,164.97,622,FAR ROCKAWAY,10,1000,1.0
S208,S208,substation,False,nearest_neighbor,1718.7,623,HEWLETT,10,1000,1.0
S79,Rockaway Beach,substation,True,nearest_neighbor,6953.46,622,FAR ROCKAWAY,10,1000,1.0
S149,Unknown135537,substation,True,nearest_neighbor,278.48,623,HEWLETT,10,1000,1.0
S88,Central Avenue,substation,True,nearest_neighbor,1892.01,621,TAP135493,10,1000,1.0
P4,Vernon Boulevard Power Project,plant,False,nearest_neighbor,581.43,1132,VERNON,4,1000,0.4
P5,Ravenswood Generating,plant,False,nearest_neighbor,238.54,1132,VERNON,4,1000,0.4
S104,Vernon,substation,True,coincident,0.03,1132,VERNON,4,1000,0.4
S59,East 63Rd Street,substation,True,nearest_neighbor,1298.67,1132,VERNON,4,1000,0.4
S70,Queensbridge,substation,True,coincident,0.05,628,QUEENSBRIDGE,4,1000,0.4
S136,East Astoria,substation,True,coincident,0.06,556,EAST ASTORIA,4,1000,0.4
S84,Rainey,substation,True,coincident,0.02,1129,RAINEY,4,1000,0.4
S35,East 75Th Street,substation,True,nearest_neighbor,853.38,1129,RAINEY,4,1000,0.4
S7,Newtown,substation,True,nearest_neighbor,1581.26,628,QUEENSBRIDGE,4,1000,0.4
S181,S181,substation,True,nearest_neighbor,10.52,555,WEST ASTORIA,4,1000,0.4
S308,11Th Street Conduit,substation,False,nearest_neighbor,1595.49,1132,VERNON,4,1000,0.4
S220,S220,substation,False,nearest_neighbor,606.42,1132,VERNON,4,1000,0.4
S323,S323,substation,False,nearest_neighbor,7.84,1455,UNKNOWN172523,4,1000,0.4
P20,New York Power Authority,plant,False,nearest_neighbor,243.5,555,WEST ASTORIA,4,1000,0.4
P12,74Th Street Power Plant,plant,False,nearest_neighbor,818.79,1129,RAINEY,4,1000,0.4
S325,S325,substation,False,nearest_neighbor,732.3,1133,LEONARD STREET,3,1000,0.3
S322,S322,substation,False,nearest_neighbor,6.72,1456,UNKNOWN172524,3,1000,0.3
S326,Port Morris Power,substation,False,nearest_neighbor,919.04,594,BRUCKNER,3,1000,0.3
P33,Harlem River Yard Power,plant,False,nearest_neighbor,379.98,594,BRUCKNER,3,1000,0.3
S221,S221,substation,False,nearest_neighbor,332.76,594,BRUCKNER,3,1000,0.3
P19,Astoria Generating,plant,False,nearest_neighbor,82.78,1456,UNKNOWN172524,3,1000,0.3
P32,Hell Gate Power,plant,False,nearest_neighbor,149.79,594,BRUCKNER,3,1000,0.3
S19,Parkview,substation,True,nearest_neighbor,2354.75,594,BRUCKNER,3,1000,0.3
S68,West 49Th Street,substation,True,coincident,0.01,1135,WEST 49TH STREET,3,1000,0.3
S54,Hell Gate,substation,True,nearest_neighbor,95.72,594,BRUCKNER,3,1000,0.3
S80,Leonard Street,substation,True,coincident,0.04,1133,LEONARD STREET,3,1000,0.3
S113,Bruckner,substation,True,coincident,0.05,594,BRUCKNER,3,1000,0.3
S129,West 65Th Street,substation,True,coincident,0.03,1134,WEST 65TH STREET,3,1000,0.3
S124,Mott Haven,substation,True,nearest_neighbor,1074.78,594,BRUCKNER,3,1000,0.3
S146,Unknown141001,substation,True,nearest_neighbor,635.7,1135,WEST 49TH STREET,3,1000,0.3
S126,North Queens,substation,True,coincident,0.03,596,NORTH QUEENS,3,1000,0.3
S186,S186,substation,False,nearest_neighbor,66.74,1135,WEST 49TH STREET,3,1000,0.3
P10,West 59Th Street Generating,plant,False,nearest_neighbor,553.02,1134,WEST 65TH STREET,3,1000,0.3
S187,Building 6,substation,False,nearest_neighbor,4110.74,594,BRUCKNER,3,1000,0.3
S185,Murray Hill,substation,False,nearest_neighbor,2249.96,1135,WEST 49TH STREET,3,1000,0.3
S188,Peck Slip,substation,False,nearest_neighbor,1263.02,1133,LEONARD STREET,3,1000,0.3
S190,S190,substation,False,nearest_neighbor,1074.85,598,PARKCHESTER,1,1000,0.1
S6,Parkway,substation,True,nearest_neighbor,5409.52,597,GREAT NECK,0,1000,0.0
S4,Clearview,substation,True,nearest_neighbor,5227.66,597,GREAT NECK,0,1000,0.0
S46,North Hills,substation,True,nearest_neighbor,4672.21,597,GREAT NECK,0,1000,0.0
S40,Douglaston,substation,True,nearest_neighbor,3189.71,597,GREAT NECK,0,1000,0.0
S38,Creedmoor,substation,True,nearest_neighbor,5765.74,560,UNKNOWN129558,0,1000,0.0
S30,Cedar Street,substation,True,nearest_neighbor,7060.6,1499,DUNWOODIE,0,1000,0.0
S20,Alley Park,substation,True,nearest_neighbor,6075.92,597,GREAT NECK,0,1000,0.0
S55,Bayside,substation,True,nearest_neighbor,5326.84,597,GREAT NECK,0,1000,0.0
S58,Floral Park,substation,True,nearest_neighbor,4331.85,560,UNKNOWN129558,0,1000,0.0
S64,Floral Park,substation,True,nearest_neighbor,5092.84,560,UNKNOWN129558,0,1000,0.0
S125,Lake Success,substation,True,nearest_neighbor,2964.81,560,UNKNOWN129558,0,1000,0.0
S123,Tremont,substation,True,coincident,0.06,595,TREMONT,0,1000,0.0
S101,Glen Oaks,substation,True,nearest_neighbor,4614.99,560,UNKNOWN129558,0,1000,0.0
S100,Great Neck,substation,True,coincident,0.05,597,GREAT NECK,0,1000,0.0
S72,East 179Th Street,substation,True,coincident,0.05,599,EAST 179TH STREET,0,1000,0.0
S69,Academy,substation,True,nearest_neighbor,2473.35,599,EAST 179TH STREET,0,1000,0.0
S67,Beechhurst,substation,True,nearest_neighbor,6318.53,597,GREAT NECK,0,1000,0.0
S73,Oakland,substation,True,nearest_neighbor,5729.76,597,GREAT NECK,0,1000,0.0
S207,Sherman Creek,substation,False,nearest_neighbor,2593.87,599,EAST 179TH STREET,0,1000,0.0
S206,Washington Street,substation,False,nearest_neighbor,4271.08,1499,DUNWOODIE,0,1000,0.0
S217,S217,substation,False,nearest_neighbor,4974.56,625,VALLEY STREAM,0,1000,0.0
S192,East 179Th Street,substation,False,nearest_neighbor,74.12,599,EAST 179TH STREET,0,1000,0.0
S236,Kings Point,substation,False,nearest_neighbor,3258.24,597,GREAT NECK,0,1000,0.0
S233,S233,substation,False,nearest_neighbor,4985.69,560,UNKNOWN129558,0,1000,0.0
P30,Riverbay Power,plant,False,nearest_neighbor,4469.97,595,TREMONT,0,1000,0.0
P61,P61,plant,False,nearest_neighbor,1899.04,597,GREAT NECK,0,1000,0.0
